document_id,text
page1-elem0,$ docker tag watson-nlp_ensemble_model:v1 <REGISTRY>/<NAMESPACE>/watson-nlp_ensemble_model:v1
page1-elem0,$ docker push <REGISTRY>/<NAMESPACE>/watson-nlp_ensemble_model:v1
page1-elem0,To find out more about Watson NLP and Watson for Embed in general check out these resources:
page1-elem0,* IBM Watson NLP Documentation [https://www.ibm.com/docs/en/watson-libraries?topic=watson-natural-language-processing-library-embed-home]
page1-elem0,* IBM Watson NLP Model catalog [https://www.ibm.com/docs/en/watson-libraries?topic=models-catalog]
page1-elem0,* IBM Watson NLP Trial [https://www.ibm.com/account/reg/us-en/signup?formid=urx-51726]
page1-elem0,* IBM Watson NLP Entitlement Key [https://www.ibm.com/account/reg/us-en/subscribe?formid=urx-51726]
page1-elem0,* Automation for Watson NLP Deployments [https://github.com/IBM/watson-automation]
page1-elem0,* Running IBM Watson NLP locally in Containers [http://heidloff.net/article/running-ibm-watson-nlp-locally-in-containers/]
page1-elem0,* Running IBM Watson NLP in Minikube [http://heidloff.net/article/running-ibm-watson-nlp-in-minikube/]
page1-elem0,The post Building custom IBM Watson NLP Images [http://heidloff.net/article/building-custom-ibm-watson-nlp-images-models/] appeared first on Niklas Heidloff [http://heidloff.net].
page1-elem1,Understanding IBM Watson Containers.
page1-elem1,IBM Watson NLP (Natural Language Understanding) and Watson Speech containers can be run locally on-premises or Kubernetes and OpenShift clusters.
page1-elem1,Via REST and gRCP APIs AI can easily be embedded in applications.
page1-elem1,This post explains how to find the latest versions of containers and how to get the model files and gRPC proto files.
page1-elem1,To try it a trial [https://www.ibm.com/products/ibm-watson-natural-language-processing] is available.
page1-elem1,The container images are stored in an IBM container registry that is accessed via an IBM Entitlement Key [https://www.ibm.com/account/reg/signup?formid=urx-51726].
page1-elem1,This post has three parts:
page1-elem1,* Finding the latest Version of Images
page1-elem1,* Accessing the Model Files
page1-elem1,* Accessing the gRCP Proto Files
page1-elem1,Finding the latest Version of Images
page1-elem1,In addition to the runtime container ‘cp.icr.io/cp/ai/watson-nlp-runtime’ IBM provides out of the box models which are stored in images that are run as init containers.
page1-elem1,* NLP [https://www.ibm.com/docs/en/watson-libraries?topic=models-catalog]
page1-elem1,* Speech To Text [https://www.ibm.com/docs/en/watson-libraries?topic=home-models-catalog]
page1-elem1,* Text To Speech [https://www.ibm.com/docs/en/watson-libraries?topic=wtsleh-models-catalog]
page1-elem1,To find out the latest version even before the documentation is updated you can use Skopeo [https://github.com/containers/skopeo].
page1-elem1,The output shows the available tags and environment variables for the model and proto directories.
page1-elem1,$ docker login cp.icr.io --username cp --password <your-entitlement-key>
page1-elem1,$ skopeo login cp.icr.io
page1-elem1,$ skopeo inspect docker://cp.icr.io/cp/ai/watson-nlp-runtime:1.0.18
page1-elem1,"Name": "cp.icr.io/cp/ai/watson-nlp-runtime"
page1-elem1,"Digest": "sha256:0cbcbd5bde0e4691e4cb1bf7fbe306a4b2082cc553c32f0be2bd60dfac75a2a5"
page1-elem1,"RepoTags": [
page1-elem1,"1.0.18"
page1-elem1,"1.0.20"
page1-elem1,"1.0"
page1-elem1,"1"
page1-elem1,]
page1-elem1,...
page1-elem1,]
page1-elem1,"Env": [
page1-elem1,"JAVA_HOME=/usr/lib/jvm/java-1.8.0-openjdk"
page1-elem1,"SERVICE_PROTO_GEN_MODULE_DIR=generated"
page1-elem1,"LOCAL_MODELS_DIR=/app/models"
page1-elem1,...
page1-elem1,Accessing the Model Files
page1-elem1,Custom images can be built which only include the models you need.
page1-elem1,To include out of the box models in your custom images you need to download the model files first.
page1-elem1,Each model is stored in one sub-directory or as zip file.
page1-elem1,The name of the directory or zip file is the model id.
page1-elem1,You can get the model files by invoking these commands:
page1-elem1,$ docker login cp.icr.io --username cp --password <your-entitlement-key>
page1-elem1,$ mkdir models
page1-elem1,$ docker run -it --rm -e ACCEPT_LICENSE=true -v `pwd`/models:/app/models cp.icr.io/cp/ai/watson-nlp_syntax_izumo_lang_en_stock:1.0.7
page1-elem1,$ ls -la models
page1-elem1,Build a custom image with the syntax model:
page1-elem1,$ cat <<EOF >>Dockerfile
page1-elem1,FROM cp.icr.io/cp/ai/watson-nlp-runtime:1.0.18
page1-elem1,COPY models /app/models
page1-elem1,EOF
page1-elem1,$ docker build .
page1-elem1,-t watson-nlp-with-syntax-model:latest
page1-elem1,$ docker run --rm -it \
page1-elem1,-e ACCEPT_LICENSE=true \
page1-elem1,-p 8085:8085 \
page1-elem1,-p 8080:8080 \
page1-elem1,watson-nlp-with-syntax-model
page1-elem1,Invoke Watson NLP via REST:
page1-elem1,$ open http://localhost:8080/swagger/
page1-elem1,$ curl -X POST "http://localhost:8080/v1/watson.runtime.nlp.v1/NlpService/SyntaxPredict" \
page1-elem1,-H "accept: application/json" \
page1-elem1,-H "grpc-metadata-mm-model-id: syntax_izumo_lang_en_stock" \
page1-elem1,-H "content-type: application/json" \
page1-elem1,-d " { \"rawDocument\": { \"text\": \"It is so easy to embed Watson NLP in applications.
page1-elem1,Very cool.\" }}"
page1-elem1,"text": "It is so easy to embed Watson NLP in applications.
page1-elem1,Very cool."
page1-elem1,"producerId": { "name": "Izumo Text Processing" "version": "0.0.1" }
page1-elem1,...
page1-elem1,"sentences": [
page1-elem1,"span": {
page1-elem1,"begin": 0 "end": 50 "text": "It is so easy to embed Watson NLP in applications."
page1-elem1,}
page1-elem1,{ "span": { "begin": 51 "end": 61 "text": "Very cool."
page1-elem1,} }
page1-elem1,Accessing the gRCP Proto Files
page1-elem1,To invoke the gRCP APIs the proto files are needed which you can get from GitHub [https://github.com/IBM/ibm-watson-embed-clients/tree/main/watson_nlp/protos].
page1-elem1,To make sure you always use the right version you can also ‘download’ them from the runtime image.
page1-elem1,$ mkdir protos
page1-elem1,$ docker create --name watson-runtime-protos cp.icr.io/cp/ai/watson-nlp-runtime:1.0.18
page1-elem1,$ docker cp watson-runtime-protos:/app/protos/.
page1-elem1,protos
page1-elem1,$ docker rm watson-runtime-protos
page1-elem1,Start the container:
page1-elem1,$ docker run --rm -it \
page1-elem1,-e ACCEPT_LICENSE=true \
page1-elem1,-p 8085:8085 \
page1-elem1,-p 8080:8080 \
page1-elem1,watson-nlp-with-syntax-model
page1-elem1,Invoke Watson NLP via gRCP:
page1-elem1,$ cd protos
page1-elem1,$ grpcurl -plaintext -proto common-service.proto -d '{
page1-elem1,"raw_document": {
page1-elem1,"text": "It is so easy to embed Watson NLP in applications.
page1-elem1,Very cool"}
page1-elem1,"parsers": ["token"]
page1-elem1,}' -H 'mm-model-id: syntax_izumo_lang_en_stock' localhost:8085 watson.runtime.nlp.v1.NlpService.SyntaxPredict
page1-elem1,"text": "It is so easy to embed Watson NLP in applications.
page1-elem1,Very cool"
page1-elem1,"producerId": {
page1-elem1,"name": "Izumo Text Processing"
page1-elem1,"version": "0.0.1"
page1-elem1,}
page1-elem1,...
page1-elem1,"sentences": [
page1-elem1,"span": {
page1-elem1,"end": 50
page1-elem1,"text": "It is so easy to embed Watson NLP in applications."
page1-elem1,}
page1-elem1,"span": {
page1-elem1,"begin": 51
page1-elem1,"end": 60
page1-elem1,"text": "Very cool"
page1-elem1,To find out more about Watson NLP Watson Speech To Text Watson Text To Speech and Watson for Embed in general check out the resources in my post Guide to IBM Watson Libraries [http://heidloff.net/article/the-ultimate-guide-to-ibm-watson-libraries/].
page1-elem1,The post Understanding IBM Watson Containers [http://heidloff.net/article/understanding-ibm-watson-containers/] appeared first on Niklas Heidloff [http://heidloff.net].
page1-elem2,Running IBM Watson Speech To Text in Minikube.
page1-elem2,IBM Watson NLP (Natural Language Understanding) and Watson Speech containers can be run locally on-premises or Kubernetes and OpenShift clusters.
page1-elem2,Via REST and WebSockets APIs AI can easily be embedded in applications.
page1-elem2,This post describes how to run Watson Speech To Text locally in Minikube.
page1-elem2,To set some context check out the landing page IBM Watson Speech Libraries for Embed [https://www.ibm.com/products/watson-speech-embed-libraries].
page1-elem2,The Watson Speech To Text library is available as containers providing REST and WebSockets interfaces.
page1-elem2,While this offering is new the underlaying functionality has been used and optimized for a long time in IBM offerings like the IBM Cloud SaaS service for STS and IBM Cloud Pak for Data.
page1-elem2,To try it a trial [https://www.ibm.com/account/reg/us-en/signup?formid=urx-51754] is available.
page1-elem2,The container images are stored in an IBM container registry that is accessed via an IBM Entitlement Key [https://www.ibm.com/account/reg/us-en/subscribe?formid=urx-51726].
page1-elem2,How to run STS locally via Minikube
page1-elem2,My post Running IBM Watson Speech to Text in Containers [http://heidloff.net/article/running-ibm-watson-speech-to-text-in-containers/] explained how to run Watson STT locally in Docker.
page1-elem2,The instructions below describe how to deploy Watson Speech To Text locally to Minikube via kubectl and yaml files.
page1-elem2,First you need to install Minikube for example via brew on MacOS.
page1-elem2,Next Minikube needs to be started with more memory and disk size than the Minikube defaults.
page1-elem2,I’ve used the settings below which is more than required but I wanted to leave space for other applications.
page1-elem2,Note that you also need to give your container runtime more resources.
page1-elem2,For example if you use Docker Desktop navigate to Preferences-Resources to do this.
page1-elem2,$ brew install minikube
page1-elem2,$ minikube start --cpus 12 --memory 16000 --disk-size 50g
page1-elem2,The namespace and secret need to be created.
page1-elem2,$ kubectl create namespace watson-demo
page1-elem2,$ kubectl config set-context --current --namespace=watson-demo
page1-elem2,$ kubectl create secret docker-registry \
page1-elem2,--docker-server=cp.icr.io \
page1-elem2,--docker-username=cp \
page1-elem2,--docker-password=<your IBM Entitlement Key> \
page1-elem2,-n watson-demo \
page1-elem2,ibm-entitlement-key
page1-elem2,Clone a repo with the Kubernetes yaml files to deploy Watson Speech To Text.
page1-elem2,$ git clone https://github.com/nheidloff/watson-embed-demos.git
page1-elem2,$ kubectl apply -f watson-embed-demos/minikube-speech-to-text/kubernetes/
page1-elem2,$ kubectl get pods --watch
page1-elem2,To use other models modify deployment.yaml [https://github.com/nheidloff/watson-embed-demos/blob/4660d1db1471e1d3079f2932bfc3107845bf6e45/minikube-speech-to-text/kubernetes/deployment.yaml#L70-L90].
page1-elem2,- name: watson-stt-en-us-telephony
page1-elem2,image: cp.icr.io/cp/ai/watson-stt-en-us-telephony:1.0.0
page1-elem2,args:
page1-elem2,- sh
page1-elem2,- -c
page1-elem2,- cp model/* /models/pool2
page1-elem2,env:
page1-elem2,- name: ACCEPT_LICENSE
page1-elem2,value: "true"
page1-elem2,resources:
page1-elem2,limits:
page1-elem2,cpu: 1
page1-elem2,ephemeral-storage: 1Gi
page1-elem2,memory: 1Gi
page1-elem2,requests:
page1-elem2,cpu: 100m
page1-elem2,ephemeral-storage: 1Gi
page1-elem2,memory: 256Mi
page1-elem2,volumeMounts:
page1-elem2,- name: models
page1-elem2,mountPath: /models/pool2
page1-elem2,When you open the Kubernetes Dashboard (via ‘minikube dashboard’) you’ll see the deployed resources.
page1-elem2,The pod contains the runtime container and four init containers (two specific models a generic model and a utility container).
page1-elem2,To invoke Watson Speech To Text port forwarding can be used.
page1-elem2,$ kubectl port-forward svc/ibm-watson-tts-embed 1080
page1-elem2,Invoke the REST API with a sample audio file.
page1-elem2,$ curl "http://localhost:1080/speech-to-text/api/v1/recognize" \
page1-elem2,--header "Content-Type: audio/wav" \
page1-elem2,--data-binary @watson-embed-demos/demo.wav
page1-elem2,"result_index": 0
page1-elem2,"results": [
page1-elem2,"final": true
page1-elem2,"alternatives": [
page1-elem2,"transcript": "ibm watson speech to text can easily be embedded in applications"
page1-elem2,"confidence": 0.85
page1-elem2,To find out more about Watson Speech To Speech and Watson for Embed in general check out these resources:
page1-elem2,* Watson Speech To Text Documentation [https://www.ibm.com/docs/en/watson-libraries?topic=watson-speech-text-library-embed-home]
page1-elem2,* Watson Speech To Text Model Catalog [https://www.ibm.com/docs/en/watson-libraries?topic=wtsleh-models-catalog]
page1-elem2,* Watson Speech To Text SaaS Model Catalog [https://cloud.ibm.com/docs/speech-to-text?topic=speech-to-text-models]
page1-elem2,* Watson Speech To Text SaaS API docs [https://cloud.ibm.com/apidocs/speech-to-text]
page1-elem2,* Trial [https://www.ibm.com/account/reg/us-en/signup?formid=urx-51754]
page1-elem2,* Entitlement key [https://www.ibm.com/account/reg/us-en/subscribe?formid=urx-51726]
page1-elem2,* Automation for Watson NLP Deployments [https://github.com/IBM/watson-automation]
page1-elem2,* Running IBM Watson NLP locally in Containers [http://heidloff.net/article/running-ibm-watson-nlp-locally-in-containers/]
page1-elem2,* Running IBM Watson Speech to Text in Containers [http://heidloff.net/article/running-ibm-watson-speech-to-text-in-containers/]
page1-elem2,* Running IBM Watson Text to Speech in Containers [http://heidloff.net/article/running-ibm-watson-text-to-speech-in-containers/]
page1-elem2,The post Running IBM Watson Speech To Text in Minikube [http://heidloff.net/article/running-ibm-watson-speech-to-text-in-minikube/] appeared first on Niklas Heidloff [http://heidloff.net].
page1-elem3,Guide to IBM Watson Libraries.
page1-elem3,IBM provides Watson NLP (Natural Language Understand) Watson Speech To Text and Watson Text To Speech as containers which can be embedded in cloud-native applications.
page1-elem3,This post lists links to relevant information in the context of Embeddable AI from IBM and the three libraries.
page1-elem3,Overview
page1-elem3,* IBM’s Embeddable AI [https://www.ibm.com/partnerworld/program/embeddableai]
page1-elem3,* IBM’s announcement regarding its embeddable AI software portfolio [https://newsroom.ibm.com/2022-10-25-IBM-Helps-Ecosystem-Partners-Accelerate-AI-Adoption-by-Making-it-Easier-to-Embed-and-Scale-AI-Across-Their-Business]
page1-elem3,* Rob Thomas on Accelerating AI Adoption with Ecosystem Partners [https://youtu.be/V8oGXnqVZEs?t=743]
page1-elem3,* IBM Digital Self-Serve Co-Create Experience for Embeddable AI [https://dsce.ibm.com/]
page1-elem3,* TechZone: Embeddable AI [https://techzone.ibm.com/collection/embedded-ai]
page1-elem3,* IBM Developer: Watson Libraries [https://developer.ibm.com/articles/watson-libraries-embeddable-ai-that-works-for-you/]
page1-elem3,Watson NLP
page1-elem3,Overview and Documentation
page1-elem3,* Landing page [https://www.ibm.com/products/ibm-watson-natural-language-processing]
page1-elem3,* Trial [https://www.ibm.com/account/reg/us-en/signup?formid=urx-51726]
page1-elem3,* Entitlement key [https://www.ibm.com/account/reg/us-en/subscribe?formid=urx-51726]
page1-elem3,* Documentation [https://www.ibm.com/docs/en/watson-libraries?topic=watson-natural-language-processing-library-embed-home]
page1-elem3,* Model Catalog [https://www.ibm.com/docs/en/watson-libraries?topic=models-catalog]
page1-elem3,Development
page1-elem3,* Running and Deploying IBM Watson NLP Containers [http://heidloff.net/article/running-and-deploying-ibm-watson-nlp-containers/]
page1-elem3,* Running IBM Watson NLP locally in Containers [http://heidloff.net/article/running-ibm-watson-nlp-locally-in-containers/]
page1-elem3,* Running IBM Watson NLP in Minikube [http://heidloff.net/article/running-ibm-watson-nlp-in-minikube/]
page1-elem3,* Understanding IBM Watson Containers [http://heidloff.net/article/understanding-ibm-watson-containers/]
page1-elem3,* Deploying Watson NLP to IBM Code Engine [http://heidloff.net/article/deploying-watson-nlp-to-ibm-code-engine/]
page1-elem3,* Watson Embedded AI Runtime Client Libraries [https://github.com/IBM/ibm-watson-embed-clients]
page1-elem3,* Embed Model Builder (init Containers) [https://github.com/IBM/ibm-watson-embed-model-builder]
page1-elem3,* Watson NLP Python Client [https://github.com/ibm-build-lab/Watson-NLP/blob/main/MLOps/Dash-App-gRPC-Client/readme.md]
page1-elem3,Operations
page1-elem3,* Building custom IBM Watson NLP Images [http://heidloff.net/article/building-custom-ibm-watson-nlp-images-models/]
page1-elem3,* Automation for embedded IBM Watson Deployments [http://heidloff.net/article/automation-for-ibm-watson-deployments/]
page1-elem3,* Setting up OpenShift and Applications in one Hour [http://heidloff.net/article/setting-up-openshift-and-applications-in-one-hour/]
page1-elem3,* Repo: Automation for Watson NLP Deployments [https://github.com/IBM/watson-automation]
page1-elem3,* Deploying TechZone Toolkit Modules on existing Clusters [http://heidloff.net/article/deploying-techzone-toolkit-modules-on-existing-clusters/]
page1-elem3,* Serving Watson NLP on Kubernetes with KServe ModelMesh [http://heidloff.net/article/serving-watson-nlp-on-kubernetes-with-kserve-modelmesh/]
page1-elem3,* Repo: Samples [https://github.com/ibm-build-lab/Watson-NLP/tree/main/MLOps]
page1-elem3,Training
page1-elem3,* Training IBM Watson NLP Models [http://heidloff.net/article/training-ibm-watson-nlp-models/]
page1-elem3,* Text Classification [https://techzone.ibm.com/collection/watson-nlp-text-classification]
page1-elem3,* Repo: Samples [https://github.com/ibm-build-lab/Watson-NLP/tree/main/ML]
page1-elem3,* Sentiment and Emotion Analysis [https://techzone.ibm.com/collection/watson-core-nlp]
page1-elem3,* Topic Modeling [https://techzone.ibm.com/collection/watson-nlp-topic-modeling]
page1-elem3,* Entities and Keywords Extraction [https://techzone.ibm.com/collection/watson-nlp-entities-and-keywords-extraction]
page1-elem3,Speech To Text
page1-elem3,* IBM Watson Speech Libraries for Embed [https://www.ibm.com/products/watson-speech-embed-libraries]
page1-elem3,* Trial [https://www.ibm.com/account/reg/us-en/signup?formid=urx-51754]
page1-elem3,* Entitlement Key [https://www.ibm.com/account/reg/us-en/subscribe?formid=urx-51726]
page1-elem3,* Running IBM Watson Speech to Text in Containers [http://heidloff.net/article/running-ibm-watson-speech-to-text-in-containers/]
page1-elem3,* Running IBM Watson Text To Speech in Minikube [http://heidloff.net/article/running-ibm-watson-text-to-speech-in-minikube/]
page1-elem3,* Documentation [https://www.ibm.com/docs/en/watson-libraries?topic=watson-speech-text-library-embed-home]
page1-elem3,* Model Catalog [https://www.ibm.com/docs/en/watson-libraries?topic=home-models-catalog]
page1-elem3,* (SaaS) API Documentation [https://cloud.ibm.com/apidocs/speech-to-text]
page1-elem3,* SaaS Documentation [https://cloud.ibm.com/docs/speech-to-text?topic=speech-to-text-gettingStarted]
page1-elem3,* Convert speech to text and extract meaningful insights from data [https://developer.ibm.com/tutorials/extract-meaningful-insights-from-data/]
page1-elem3,* Watson Speech To Text Analysis Notebook [https://github.com/ibm-build-lab/Watson-Speech/blob/main/Speech%20To%20%20Text/Speech%20To%20Text%20Analysis.ipynb]
page1-elem3,* STT Spring Application [https://github.com/ibm-build-lab/Watson-Speech/tree/main/STTApplication#readme]
page1-elem3,Text To Speech
page1-elem3,* IBM Watson Speech Libraries for Embed [https://www.ibm.com/products/watson-speech-embed-libraries]
page1-elem3,* Trial [https://www.ibm.com/account/reg/signup?formid=urx-51758]
page1-elem3,* Entitlement Key [https://www.ibm.com/account/reg/us-en/subscribe?formid=urx-51726]
page1-elem3,* Running IBM Watson Text to Speech in Containers [http://heidloff.net/article/running-ibm-watson-text-to-speech-in-containers/]
page1-elem3,* Running IBM Watson Text To Speech in Minikube [http://heidloff.net/article/running-ibm-watson-text-to-speech-in-minikube/]
page1-elem3,* Documentation [https://www.ibm.com/docs/en/watson-libraries?topic=watson-text-speech-library-embed-home"]
page1-elem3,* Model Catalog [https://www.ibm.com/docs/en/watson-libraries?topic=wtsleh-models-catalog]
page1-elem3,* (SaaS) API Documentation [https://cloud.ibm.com/apidocs/text-to-speech]
page1-elem3,* SaaS Documentation [https://cloud.ibm.com/docs/text-to-speech?topic=text-to-speech-gettingStarted]
page1-elem3,* Using TTS in a Notebook [https://github.com/ibm-build-lab/Watson-Speech/blob/main/Text%20To%20Speech/Text-to-Speech-Tutorial.md]
page1-elem3,* Watson Developer Cloud (Client SDKs) [https://github.com/watson-developer-cloud]
page1-elem3,The post Guide to IBM Watson Libraries [http://heidloff.net/article/the-ultimate-guide-to-ibm-watson-libraries/] appeared first on Niklas Heidloff [http://heidloff.net].
page1-elem4,Deploying Watson NLP to IBM Code Engine.
page1-elem4,IBM Watson NLP (Natural Language Understanding) and Watson Speech containers can be run locally on-premises or Kubernetes and OpenShift clusters.
page1-elem4,Via REST and gRCP APIs AI can easily be embedded in applications.
page1-elem4,This post describes how to deploy and run Watson NLP on the serverless offering IBM Code Engine.
page1-elem4,To set some context check out the landing page IBM Watson NLP Library for Embed [https://www.ibm.com/products/ibm-watson-natural-language-processing].
page1-elem4,The Watson NLP containers can be run on different container platforms they provide REST and gRCP interfaces they can be extended with custom models and they can easily be embedded in solutions.
page1-elem4,While this offering is new the underlaying functionality has been used and optimized for a long time in IBM offerings like the IBM Watson Assistant and NLU (Natural Language Understanding) SaaS services and IBM Cloud Pak for Data.
page1-elem4,To try it a trial [https://www.ibm.com/products/ibm-watson-natural-language-processing] is available.
page1-elem4,The container images are stored in an IBM container registry that is accessed via an IBM Entitlement Key [https://www.ibm.com/account/reg/signup?formid=urx-51726].
page1-elem4,Step by Step Instructions
page1-elem4,First a custom image needs to be built which includes the NLP runtime and a list of models.
page1-elem4,$ docker login cp.icr.io --username cp --password <your-entitlement-key>
page1-elem4,$ mkdir models
page1-elem4,$ docker run -it --rm -e ACCEPT_LICENSE=true -v `pwd`/models:/app/models cp.icr.io/cp/ai/watson-nlp_syntax_izumo_lang_en_stock:1.0.7
page1-elem4,$ ls -la models
page1-elem4,$ cat <<EOF >>Dockerfile
page1-elem4,FROM cp.icr.io/cp/ai/watson-nlp-runtime:1.0.18
page1-elem4,COPY models /app/models
page1-elem4,EOF
page1-elem4,$ docker build .
page1-elem4,-t my-watson-nlp-runtime:latest
page1-elem4,Next the custom image is pushed to a registry in this case the IBM Container Registry.
page1-elem4,$ ibmcloud plugin install cr
page1-elem4,$ ibmcloud login --sso
page1-elem4,$ ibmcloud cr region-set global
page1-elem4,$ ibmcloud cr namespace-add watson-nlp-demo
page1-elem4,$ ibmcloud cr login
page1-elem4,$ docker tag my-watson-nlp-runtime:latest icr.io/watson-nlp-demo/my-watson-nlp-runtime:latest
page1-elem4,$ docker push icr.io/watson-nlp-demo/my-watson-nlp-runtime:latest
page1-elem4,After this the Code Engine project is created.
page1-elem4,$ ibmcloud plugin install code-engine
page1-elem4,$ ibmcloud target -r us-south -g default
page1-elem4,$ ibmcloud ce project create --name watson-nlp-demo
page1-elem4,$ ibmcloud ce project select --name watson-nlp-demo
page1-elem4,To access the container registry from Code Engine a secret is created.
page1-elem4,This can be done manually or programmatically.
page1-elem4,* ibmcloud CLI documentation [https://cloud.ibm.com/docs/codeengine?topic=codeengine-cli#cli-secret-create]
page1-elem4,* Manual instructions [https://github.com/ibm-build-lab/Watson-NLP/blob/main/MLOps/Deploy-to-Code-Engine/README.md#step-14-create-a-code-engine-managed-secret-from-the-ibm-cloud-web-console]
page1-elem4,Finally the serverless application can be created.
page1-elem4,$ ibmcloud ce application create \
page1-elem4,--name watson-nlp-runtime \
page1-elem4,--port 8080 \
page1-elem4,--min-scale 1 --max-scale 2 \
page1-elem4,--cpu 2 --memory 4G \
page1-elem4,--image private.icr.io/watson-nlp-demo/my-watson-nlp-runtime:latest \
page1-elem4,--registry-secret ce-auto-icr-private-global \
page1-elem4,--env ACCEPT_LICENSE=true
page1-elem4,$ ibmcloud ce app list
page1-elem4,$ ibmcloud ce app logs --application watson-nlp-runtime
page1-elem4,$ ibmcloud ce app events --application watson-nlp-runtime
page1-elem4,$ curl -X POST "https://watson-nlp-runtime.vl0podgeqyi.us-south.codeengine.appdomain.cloud/v1/watson.runtime.nlp.v1/NlpService/SyntaxPredict" \
page1-elem4,-H "accept: application/json" \
page1-elem4,-H "grpc-metadata-mm-model-id: syntax_izumo_lang_en_stock" \
page1-elem4,-H "content-type: application/json" \
page1-elem4,-d " { \"rawDocument\": { \"text\": \"It is so easy to embed Watson NLP in applications.
page1-elem4,Very cool.\" }}"
page1-elem4,To find out more about Watson NLP and Watson for Embed in general check out these resources:
